,locations,source_reliability,media,confidence,text,text_translated,_timestamp,num_persons,mode,origin,destination,geom_tweet,triage_status,source,uniqueid
1036,"['hungary', 'croatia']",1.0,,0.746,Migrants: la Hongrie pose des barbelés à sa frontière avec la Croatie http://t.co/V94KysFUPt,migrants hungary lays barbed wire on its border with croatia,2019-10-11 08:54:09,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1027
1037,['croatia'],0.995,['http://pbs.twimg.com/media/CPMXGKaWsAA-1jP.jpg'],0.608,Crise des migrants: Une vingtaine de bus arrivent à la frontière hongro-croate http://t.co/MDNTV26nce http://t.co/DURwlpTcOg,migrant crisis about 20 buses arrive at the hungarian croatian border,2019-10-11 14:43:56,20.0,bus,,,01010000004850FC1873F72F40545227A089E84640,,twitter,1028
1038,"['croatia', 'hungary']",0.936,['http://pbs.twimg.com/media/CPM4cqrVEAAJIWW.jpg'],0.817,"RT @EmilieBlachere: Scènes chaotiques à frontière Croatie-Hongrie, milliers de réfugiés transportés en bus #refugeescrisis @ParisMatch http…",chaotic scenes at the border between croatia and hungary thousands of refugees transported by bus refugeescrisis,2019-10-11 17:09:45,,bus,,,01010000004850FC1873F72F40545227A089E84640,,twitter,1029
1039,"['hungary', 'croatia']",0.986,,0.919,"RT @InternaQc: Après la Hongrie, la Croatie ferme à son tour ses frontières aux migrants http://t.co/1csBR7DLZj",after hungary croatia in turn closes its borders to migrants,2019-10-11 18:35:27,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1030
1040,['croatia'],0.999,,0.548,RT @RTBFinfo: Des bus de migrants venus de Croatie traversent la frontière hongroise http://t.co/R6NTskVOnE,migrants buses from croatia cross the hungarian border,2019-10-11 20:29:04,,bus,HR0,,01010000004850FC1873F72F40545227A089E84640,,twitter,1031
1041,['hungary'],0.993,['http://pbs.twimg.com/media/CPQcFcOXAAA15fT.jpg'],0.752,RT @BFMTV: Migrants: la Hongrie a terminé la pose de barbelés à sa frontière http://t.co/dPVXma49Cl http://t.co/1NjNpxCZSa,migrants hungary has finished laying barbed wire at its border,2019-10-12 09:44:13,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1032
1042,"['croatia', 'hungary']",1.0,,0.893,La Croatie achemine des milliers de migrants vers la Hongrie http://t.co/qgoHulrhwE,croatia transports thousands of migrants to hungary,2019-10-12 20:13:17,,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,1033
1043,['bulgaria'],0.273,,0.585,"RT @Europhobe: La #Bulgarie ferme ses frontières aux #migrants.Aider les pays de l'Est à protéger leurs frontières,c'est nous protéger nous…",bulgaria closes its borders to migrants helping eastern european countries to protect their borders means protecting ourselves,2019-10-13 06:58:44,,,,,010100000014AE47E17A5437409A99999999594540,,twitter,1034
1044,['austria'],1.0,['http://pbs.twimg.com/media/CPYcvyGWUAENo3U.jpg'],0.899,RT @lemondefr: Des milliers de migrants gagnent l’Autriche http://t.co/bY3nFdJHFh http://t.co/8PvuerGy3q,thousands of migrants reach austria,2019-10-13 23:04:04,,,,AT,010100000076711B0DE05D30409A99999999194840,,twitter,1035
1045,"['slovenia', 'croatia']",0.955,,0.934,"RT @CercleVoltaire: #Migrants : A son tour , la Slovénie ferme ses frontières avec la Croatie

http://t.co/7qi4xI8230",migrants in turn slovenia closes its borders with croatia,2019-10-14 20:26:13,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,1036
1046,"['slovenia', 'croatia']",1.0,,0.677,RT @citoyenneFrance: Migrants: la Slovénie ferme sa frontière avec la Croatie http://t.co/ybq5FA1QKh #Immigration via @citoyenneFrance,migrants slovenia closes its border with croatia immigration via,2019-10-17 21:26:06,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,1037
1047,['brussels'],0.228,,0.576,7sur7 Le Kinepolis de Bruxelles fermé suite à des incidents 7sur7 Des incidents ont éclaté suite à l'affluence… http://t.co/Vn33MrU79w,7 out7 brussels kinepolis closed due to incidents 7 out of 7 incidents broke out following the influx,2019-10-19 20:27:33,,,,,,,twitter,1038
1048,['croatia'],0.833,,0.999,"Migrants : 10.000 réfugiés entrés vendredi en Croatie, un nouveau record http://t.co/5WzfrsHOtK",migrants 10 000 refugees entered croatia on friday a new record,2019-10-19 20:54:25,10000.0,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,1039
1049,['libya'],0.144,,0.961,RT @afpfr: 373 migrants secourus aujourd'hui au large de la Libye http://t.co/daRQRo3cNM #AFP,373 migrants rescued today from libya afp,2019-10-21 16:59:05,373.0,,,,01010000009031772D215F2A40C139234A7B734040,,twitter,1040
1050,"['austria', 'syria']",0.438,['http://pbs.twimg.com/media/CQOQBdTXAAAWaqV.jpg'],0.541,"RT @franceinfo: Dans un train vers l'Autriche avec une famille de réfugiés syriens
@ouahmaneomar 
http://t.co/afh4DEXIQB http://t.co/q9n8cs…",on a train to austria with a family of syrian refugees ouahmaneomar,2019-10-24 09:48:22,,train,,AT,010100000076711B0DE05D30409A99999999194840,,twitter,1041
1051,[],0.626,['http://pbs.twimg.com/media/CQfXBhzVAAAaenN.jpg'],0.889,"UE: 630.000 migrants entrés illégalement depuis le début de l’année, selon Frontex http://t.co/7QlUp6qXii http://t.co/AgKZ3RSaKF",eu 630 000 migrants entered illegally since the beginning of the year according to frontex,2019-10-27 20:54:53,630000.0,,,,,,twitter,1042
1052,"['hungary', 'croatia']",1.0,,0.766,RT @romandie: Migrants: la Hongrie fermera sa frontière avec la Croatie à minuit http://t.co/WUPh1RUw1S,migrants hungary will close its border with croatia at midnight,2019-11-08 14:07:26,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1043
1053,"['hungary', 'croatia']",1.0,,0.893,La Hongrie fermera sa frontière avec la Croatie aux migrants à minuit  http://t.co/Dna895Re7I,hungary will close its border with croatia to migrants at midnight,2019-11-08 14:28:01,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1044
1054,"['hungary', 'croatia']",1.0,,0.999,Migrants: la Hongrie ferme sa frontière avec la Croatie http://t.co/g0KqInGvTQ,migrants hungary closes border with croatia,2019-11-08 15:40:25,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1045
1055,"['hungary', 'croatia']",1.0,,0.999,"Migrants: la Hongrie ferme sa frontière avec la Croatie - Vendredi 16 octobre à minuit, la Hongrie a fermé sa fron... http://t.co/o8uuyTpjx7",migrants hungary closes border with croatia friday october 16 at midnight hungary has closed its border,2019-11-09 04:01:35,16.0,,,HU,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1046
1056,"['hungary', 'turkey']",0.998,,0.983,"Migrants: la Hongrie ferme sa frontière, la Turquie fait monter les enchères http://t.co/W8N8n9c8bE",migrants hungary closes border turkey raises prices,2019-11-09 07:07:37,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1047
1057,"['hungary', 'croatia', 'france']",1.0,['http://pbs.twimg.com/media/CRgQMhbUAAAc13Q.jpg'],0.986,RT @France24_fr: Hongrie : frontière fermée avec la Croatie pour les migrants http://t.co/Ke0qM39ndE http://t.co/1zUiJal8hX,france24 en hungary closed border with croatia for migrants,2019-11-09 07:57:35,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1048
1058,"['hungary', 'croatia']",0.999,['http://pbs.twimg.com/media/CRghIjNU8AAb0Jz.jpg'],0.997,RT @libe: La Hongrie a fermé aux migrants sa frontière avec la Croatie http://t.co/gkr4wy6u0h http://t.co/oVZ5GKzgzI,hungary has closed its borders with croatia to migrants,2019-11-09 09:11:36,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1049
1059,"['budapest', 'croatia']",1.0,['http://pbs.twimg.com/media/CRh6RblWIAAE7nl.jpg'],1.0,RT @ActusOvernewz: Budapest ferme sa frontière avec la Croatie aux migrants http://t.co/gU75EYXYVk http://t.co/cTPgGWeztK,budapest closes border with croatia to migrants,2019-11-09 15:41:03,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1050
1060,['greece'],0.639,,0.557,8 000 nouveaux migrants sont arrivés en Grèce ce lundi https://t.co/pZ2htWwpS6 via @f_desouche,8 000 new migrants arrived in greece on monday via,2019-11-12 21:20:22,8000.0,,,,010100000000000000000036400000000000804340,,twitter,1051
1061,"['calais', 'nîmes']",0.0,['http://pbs.twimg.com/media/CR2h2QHWIAADt22.jpg'],0.667,RT @Julien_FN59: Cet avion est venu à #Calais ce mercredi matin chercher des migrants pour Nîmes. 25 migrants en sont descendus .. https://…,julien fn59 this plane came to calais this wednesday morning to look for migrants for nîmes 25 migrants have come down,2019-11-13 15:46:23,25.0,,,FRE12,,,twitter,1052
1062,"['slovenia', 'germany', 'germany']",0.0,['http://pbs.twimg.com/media/CR3eHcGWUAQieg9.png'],0.5,"RT @charlemagne1968: Cette colonne interminable de #migrants est en train de traverser la Slovénie, en direction de l'Allemagne. https://t.…",charlemagne1968 this endless column of migrants is crossing slovenia heading for germany t,2019-11-13 20:09:40,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,1053
1063,['slovenia'],0.755,['http://pbs.twimg.com/media/CR509sZWEAAD5sB.jpg'],0.757,"Slovénie: plus de 12.600 migrants arrivés en 24 heures, un record https://t.co/xLbj8RhlKA https://t.co/QvTjmNAkRq",slovenia more than 12 600 migrants arrived in 24 hours a record,2019-11-14 07:08:44,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,1054
1064,['slovenia'],0.504,['http://pbs.twimg.com/media/CR6KI66WsAAM6v4.jpg'],0.603,"RT @OuchikhKarim: ""Migrants"" : plus de 12.600 arrivées en Slovénie en 24 heures. Un record https://t.co/SxreBdZbGi",migrants more than 12 600 arrivals in slovenia in 24 hours a record,2019-11-14 08:41:17,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,1055
1065,['greece'],0.8,,0.777,RT @F_Desouche: Grèce : record de 48.000 arrivées de migrants en 5 jours: Quelque 48.000 migrants et réfugiés sont arrivés en ... https://t…,greece record 48 000 migrant arrivals in 5 days some 48 000 migrants and refugees arrived in t,2019-11-15 15:19:03,,,,,010100000000000000000036400000000000804340,,twitter,1056
1066,['auxonne'],0.0,,0.569,Auxonne : 29 migrants sont installés sur la base de plein air https://t.co/T3uwJupZzH,auxonne 29 migrants are installed on the outdoor base,2019-11-24 00:09:10,29.0,,,,,,twitter,1057
1067,[],0.993,['http://pbs.twimg.com/media/CSzVliAUwAEPA5Z.jpg'],0.77,"RT @AJENews: UN: Record 218,000 refugees arrive in Europe in October https://t.co/BEaxJBedtn https://t.co/Ua0WzDBFPK",un record 218 000 refugees arrive in europe in october,2019-11-25 11:09:37,218000.0,,,,,,twitter,1058
1068,[],0.994,,0.724,"RT @irane_Azad: 218,000 refugees arrive in Europe in October; UN https://t.co/TL8kwbAFo0 #News #iran #politics",218 000 refugees arrive in europe in october a news iran politics,2019-11-26 09:02:03,218000.0,,,,,,twitter,1059
1072,['egypt'],0.996,,0.538,"RT @irane_Azad: 218,000 refugees arrive in Europe in October; UN https://t.co/TL8kwbAFo0 #egypt #Irantalks",218 000 refugees arrive in europe in october a egypt irantalks,2019-11-26 10:42:45,218000.0,,,,0101000000ED0DBE30993A3F40C9E53FA4DF0E3E40,,twitter,1060
1073,[],0.995,,0.584,"RT @MyLife4Iran: 218,000 refugees arrive in Europe in October; UN https://t.co/PsDS0WPcv8 #Euronews #Iran #google",mylife4iran 218 000 refugees arrive in europe in october one euronews iran google,2019-11-26 14:09:20,218000.0,,,,,,twitter,1061
1074,[],0.996,,0.659,"RT @irane_Azad: 218,000 refugees arrive in Europe in October; UN https://t.co/TL8kwbAFo0 #iran #LONDON #News",218 000 refugees arrive in europe in october one iran london news,2019-11-26 15:37:30,218000.0,,,,,,twitter,1062
1075,[],0.996,,0.699,"RT @LaelMoon3: 218,000 refugees arrive in Europe in October; UN https://t.co/VioVuZwvDR #usa #google",laelmoon3 218 000 refugees arrive in europe in october one usa google,2019-11-26 16:10:31,218000.0,,,,,,twitter,1063
1077,"['slovenia', 'croatia']",0.994,,0.843,#Migrants : la #Slovénie installe des barbelés à sa frontière avec la Croatie https://t.co/Eg3yWnFGkh,migrants slovenia installs barbed wire on its border with croatia,2019-12-04 09:56:43,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,1064
1078,"['macedonia', 'gevgelija']",0.112,,0.992,"RT @PortalPolitikis: Makedonija zaprla mejni prehod Gevgelija, na grški strani meje ostalo 5000 migrantov #MACrešujeSLOinEU
https://t.co/vB…",macedonia closes gevgelija border crossing 5 000 migrants remain on the greek side of the border macresujesloineu,2019-12-26 14:06:40,5000.0,,,,0101000000C66D3480B78036407DD0B359F5914440,,twitter,1065
1079,['slovenia'],0.027,,0.961,"Včeraj v Slovenijo prispelo več kot 3100 migrantov, danes že okoli 1000 https://t.co/9yz72eHzzM",more than 3100 migrants arrived yesterday in slovenia today around 1000,2020-01-10 08:36:41,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,1066
1080,"['hungary', 'serbia']",1.0,,0.534,"RT @nemanja_tasic: Mađarska podigla ogradu na granici sa Srbijom
hahahahah kako ćete sada da pripojite Vojvodinu, Huni glupi",hungary has raised the fence on the border with serbia,2019-07-10 15:19:13,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1067
1082,"['macedonia', 'greece']",0.137,,0.715,RT @skyslovenia: Vsak dan mejo med Makedonijo in Grčijo prečka 5.500 migrantov. #begunci #Refugees  #refugeescrisis,every day the border between macedonia and greece crosses 5 500 migrants begunci refugees refugeescrisis,2019-10-21 08:17:18,5500.0,,,,0101000000575BB1BFEC6E35400000000000004540,,twitter,1068
1083,"['norway', 'syria', 'russia']",0.202,,0.841,@RidusNews Norveška usmerja sirijske begunce v Rusijo,norway directs syrian refugees to russia,2019-11-07 13:57:54,,,,,,,twitter,1069
1084,"['slovenia', 'ljubljana']",0.942,,0.997,"5,000 migrants reach Slovenia on Monday: official: LJUBLJANA (Reuters) - Some 5,000 migrants reached Slovenia ... http://t.co/xHzUF8MBLq",5 000 migrants reach slovenia on monday official ljubljana reuters some 5 000 migrants reached slovenia,2019-11-11 13:57:42,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,1070
1085,['croatia'],0.564,,0.696,Na Hrvaško danes prispelo približno 3000 novih beguncev in migrantov https://t.co/fO0yME3YnK,approximately 3 000 new refugees and migrants arrived today in croatia,2019-11-20 10:09:50,3000.0,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,1071
1086,['slovenia'],0.0,,0.649,V Slovenijo vstopilo že več kot 148.000 migrantov https://t.co/PsTbuauoJK,more than 148 000 migrants joined in slovenia,2019-11-28 08:03:48,148000.0,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,1072
1087,[],0.616,,0.991,"RT @vladaRS: Šefic: Dnevno prihaja okrog 8.000 migrantov, danes do 14. ure prišlo nekaj več kot 4.000 migrantov in beguncev.",šefic approximately 8 000 migrants arrive daily and today there are just over 4 000 migrants and refugees,2019-12-04 14:06:11,,,,,,,twitter,1073
1088,['croatia'],0.17,,0.646,RT @Nova24TV: Merklova obrnila ploščo. Migrante bodo vračali na Hrvaško. https://t.co/rw9AYpFwLA @Nova24TV,nova24tv merkel turned the record migrants will return to croatia nova24tv,2019-12-05 08:52:06,,,,HR0,01010000004850FC1873F72F40545227A089E84640,,twitter,1074
1090,"['syria', 'serbia']",0.831,['http://pbs.twimg.com/media/CNrANRoUsAEDnBG.jpg'],0.681,"RT @CherguiaMbark: معاناة اللاجئين السوريين على الحدود المجرية الصربية
The suffering of Syrian refugees On the Serbian-Hungarian border htt…",the suffering of syrian refugees on the hungarian serbian border,2019-09-22 17:00:49,,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,1075
1091,['norway'],0.214,,0.696,RT @_roos_marijn_: 'Tot 27.000 migranten kwamen Noorwegen in met valse papieren' https://t.co/5k1reYhqJX,up to 27 000 migrants entered norway with fake papers,2020-01-16 08:55:12,27000.0,,,,,,twitter,1076
1092,['ceuta'],0.974,,0.8,Honderden vluchtelingen bestormen grens in Ceuta: 14:35 Honderden migranten hebben vrijdag de afsluiting aan d... https://t.co/O8LbnespXD,hundreds of refugees storm the border in ceuta 1435 hundreds of migrants have the closure on friday,2020-01-17 14:26:05,1435.0,,,,,,twitter,1077
1093,"['piraeus', 'belgium']",0.926,,0.647,https://t.co/7Y9rwpuAO6 Nieuws België: Duizenden migranten bij ijzige tempearturen in Piraeus gearriveerd https://t.co/iic2dYJYia,news belgium thousands of migrants have arrived at icy temperatures in piraeus,2020-01-23 14:10:09,,,,,,,twitter,1078
1094,[],0.977,,0.583,RT @vrtderedactie: 2.500 migranten gered in de Middellandse Zee http://t.co/5j93ZhP0jK,2 500 migrants rescued in the mediterranean,2019-06-29 19:43:16,2500.0,,,,,,twitter,1079
1095,['hungary'],0.064,,0.636,"Hongarije sluit land deels voor vluchtelingen: Hongarije stopt voorlopig met het terugnemen van migranten, omd... http://t.co/6rp7CJdNC6",hungary partially closes land for refugees hungary is temporarily halting the readmission of migrants because,2019-07-16 20:14:43,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1080
1096,['channel tunnel'],0.865,,0.757,Sinds januari 37.000 migranten tegengehouden bij Kanaaltunnel: Sinds dit jaar zijn 37.000 migranten tegengehou... http://t.co/rozUZgdI3U,since january 37 000 migrants have been stopped at the channel tunnel since this year 37 000 migrants have been stopped,2019-08-21 09:10:39,,,,,,,twitter,1081
1097,['macedonia'],0.953,,0.766,De Standaard Vluchtelingen bestormen trein De Standaard Honderden migranten hebben zaterdag in Macedonië wanhopig… http://t.co/ixX7GsyQHF,the standard refugees storm the train the standard hundreds of migrants are desperate in macedonia on saturday,2019-09-08 10:20:05,,train,,,0101000000575BB1BFEC6E35400000000000004540,,twitter,1082
1098,['munich'],0.997,,0.989,Honderden migranten per trein naar München http://t.co/TsJCC22fzA,hundreds of migrants by train to munich,2019-09-23 20:39:23,,train,,,010100000052499D8026222740454772F90F114840,,twitter,1083
1099,"['budapest', 'vienna']",0.94,['http://pbs.twimg.com/media/CNzL8SFWwAEU7Va.jpg'],1.0,RT @volkskrant: Ruim 3.650 migranten zijn maandag met de trein van Boedapest naar Wenen gereisd http://t.co/MsZVVxJaDl http://t.co/7Jo1xk3J…,over 3 650 migrants traveled by train from budapest to vienna on monday,2019-09-24 07:09:06,3650.0,train,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1084
1100,['brussels'],0.32,,0.523,"Een verwarde man schrijft dat Brussel de grenzen heeft gesloten. 
Triest.",a confused man writes that brussels has closed the borders sad,2019-10-01 07:30:40,,,,,,,twitter,1085
1101,"['germany', 'netherlands', 'germany']",0.432,['http://pbs.twimg.com/media/COxVAHNW8AAJnu2.jpg'],0.905,"RT @aaaa70caro: #Duitsland sluit de grenzen weer. NU #Nederland nog. #Grensbewaking terug. #vluchtelingen 
http://t.co/TO34yOC9bf",aaaa70caro germany closes the borders again now netherlands still border control back vluchtelingen,2019-10-06 14:23:48,,,,,0101000000CDCCCCCCCCCC2A40EEEBC03923424A40,,twitter,1086
1102,"['germany', 'germany']",0.292,,0.73,Duitsland voert aan alle grenzen weer grenscontroles in. #Fluechtlinge,germany reintroduces border controls at all borders fluechtlinge,2019-10-06 15:41:14,,,,,0101000000CDCCCCCCCCCC2A40EEEBC03923424A40,,twitter,1087
1103,"['germany', 'germany']",0.226,,0.54,RT @wltrrr: #nosjournaal “Duitsland sluit grenzen om de vluchtelingenstroom in te dammen”. Laten we vooral niet suggereren dat het om mense…,nosjournaal germany closes borders to curb the flow of refugees above all lets not suggest that it is about human,2019-10-07 06:31:50,,,,,0101000000CDCCCCCCCCCC2A40EEEBC03923424A40,,twitter,1088
1104,"['hungary', 'austria']",0.159,,1.0,RT @ArmandVervaeck: #asielcrisis - Grens Hongarije-Oostenrijk : elk uur levert Hongarije 500 migranten per bus af aan de AT grens https://t…,asielcrisis hungary austria border every hour hungary delivers 500 migrants by bus to the at border t,2019-10-07 08:24:57,500.0,bus,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,1089
1105,['norway'],0.0,,0.61,@flipvandyke #Danmark #Norway slechts 5000.#VK relatief weinig #migranten,danmark norway only 5000 uk relatively few migrants,2019-11-04 15:32:55,5000.0,,,,,,twitter,1090
1106,[],0.0,,0.936,"Vanaf 2010 zijn de grenzen gaandeweg dicht gegaan voor onrendabele Nederlanders, blijven dicht nu nog voor de vluchtelingen,MINDER VOOR MEER",from 2010 the borders gradually closed for unprofitable dutch people remain closed now for refugees less for more,2019-11-11 12:50:53,2010.0,,,,,,twitter,1091
1107,['croatia'],0.097,,0.895,RT @HaraldDoornbos: Van middernacht tot 15.00 uur vandaag zijn ong 4000 migranten Kroatie binnengekomen. Totaal sinds 15 sept: 205.000. htt…,approximately 4000 migrants entered croatia from midnight to 3 p m today total since sept 15 205 000 htt,2019-11-12 19:53:33,,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,1092
1108,['france'],0.248,,0.694,@AlexanderNL @timheineke Hollande heeft net e grenzen v Frankrijk gesloten,hollande has just closed the borders of france,2019-12-06 22:55:59,,,,,,,twitter,1093
1109,['belgium'],0.04,,0.652,RT @lucasbeernaert: Dringend tijd dat de grenzen gesloten worden in België. #PrayForParis,urgent time that the borders are closed in belgium prayforparis,2019-12-06 23:32:47,,,,,,,twitter,1094
1110,"['belgium', 'france']",0.073,,0.711,RT @nbbrk: BELGIE SLUIT IN NAVOLGING VAN FRANKRIJK HAAR GRENZEN,belgium closes it in front of france,2019-12-07 00:30:00,,,,,,,twitter,1095
1111,[],0.101,,0.796,More than 3000 migrants rescued from Mediterranean on one day alone,more than 3000 migrants rescued from mediterranean on one day alone,2019-05-26 09:43:59,,,,,,,twitter,1096
1112,['italy'],0.654,,0.502,Italy: 3690 Migrants Rescued From Mediterranean in 1 Day - New York Times http://t.co/hngfD8WmBJ,italy 3690 migrants rescued from mediterranean in 1 day new york times,2019-05-26 10:43:07,,,,,010100000000000000000029403333333333F34440,,twitter,1097
1113,['italy'],0.621,,0.505,"Italy: 3,690 migrants rescued from Mediterranean in 1 day: http://t.co/THHBRDEh3y",italy 3 690 migrants rescued from mediterranean in 1 day,2019-05-26 12:26:02,,,,,010100000000000000000029403333333333F34440,,twitter,1098
1114,['libya'],0.632,,0.903,"RT @carlbildt: Nearly 3,700 migrants were rescued from boats near the coast of Libya on Saturday and early on Sunday. http://t.co/1iBCUBl5ET",nearly 3 700 migrants were rescued from boats near the coast of libya on saturday and early on sunday,2019-05-26 13:04:23,3700.0,boat,,,01010000009031772D215F2A40C139234A7B734040,,twitter,1099
1115,[],0.846,,0.781,"RT @TIME: Nearly 3,700 migrants were rescued from the Mediterranean in one day http://t.co/ThpddqyFU6",nearly 3 700 migrants were rescued from the mediterranean in one day,2019-05-26 18:30:03,,,,,,,twitter,1100
1116,[],0.764,['http://pbs.twimg.com/media/CEInu-1VEAEBLR9.jpg'],0.88,"RT @RT_com: 5,800 migrants recovered from Mediterranean in 48 hours http://t.co/E10XqjVzVr http://t.co/4vg3dFbHoS",5 800 migrants recovered from mediterranean in 48 hours,2019-05-27 04:30:08,,,,,,,twitter,1101
1117,['italy'],0.946,,0.69,"Rescued 5,800 migrants arrive in Italy port: Nearly 5,800 migrants, rescued from boats off the coast of… http://t.co/iBjwb8RKBy #Skibabs360",rescued 5 800 migrants arrive in italy port nearly 5 800 migrants rescued from boats off the coast of skibabs360,2019-05-27 08:21:06,,boat,,IT,010100000000000000000029403333333333F34440,,twitter,1102
1118,"['djibouti', 'yemen']",0.579,,0.644,"RT @IOMRONairobi: 9,000 + #migrants &amp; #refugees have arrived in #Djibouti frm #YemenCrisis @Mixed_Migration @IOMNairobi",9 000 migrants amp refugees have arrived in djibouti frm yemencrisis,2019-05-28 08:47:25,9000.0,,,,,,twitter,1103
1119,[],0.101,,0.549,#WSJ #WallStreetJournal 40 Migrants Reported Dead After Dinghy Burst at Sea  Around 40 migrants drowned when one of the dinghies they were …,wsj wallstreetjournal 40 migrants reported dead after dinghy burst at sea around 40 migrants drowned when one of the dinghies they were,2019-05-28 13:19:19,,,,,,,twitter,1104
1120,['aegean'],0.146,,0.733,Turkish coastguard rescues 636 migrants trying to cross Aegean http://t.co/M1vp6Om6F1,turkish coastguard rescues 636 migrants trying to cross aegean,2019-05-28 13:58:10,636.0,,,,01010000003333333333F336400000000000804340,,twitter,1105
1121,"['libya', 'italy']",0.199,,0.553,RT @balldeborah: 40 migrants reported dead after dinghy burst at sea attempting passage from Libya to Italy http://t.co/DPosY7mYk8 via @WSJ,40 migrants reported dead after dinghy burst at sea attempting passage from libya to italy via,2019-05-28 14:34:48,40.0,,,IT,01010000009031772D215F2A40C139234A7B734040,,twitter,1106
1122,['italy'],0.618,,0.791,Italy rescues 600 migrants from Mediterranean http://t.co/nyHqqYQSjB,italy rescues 600 migrants from mediterranean,2019-05-29 06:42:07,600.0,,,,010100000000000000000029403333333333F34440,,twitter,1107
1123,[],0.193,,0.887,RT @stephenlautens: I hear Saskatchewan has closed its borders in anticipation of the stream of refugees headed east. #abvote #cdnpoli,i hear saskatchewan has closed its borders in anticipation of the stream of refugees headed east abvote cdnpoli,2019-05-29 13:58:46,,,,,,,twitter,1108
1124,['greece'],0.269,,0.913,Yahoo News : About 170 migrants picked up in Mediterranean off Greece http://t.co/ftxySBOoMe,yahoo news about 170 migrants picked up in mediterranean off greece,2019-05-31 16:15:10,170.0,,,,010100000000000000000036400000000000804340,,twitter,1109
1125,"['malaysia', 'malaysia']",0.966,,0.536,"Malaysia detains hundreds of migrants arriving on boats: Malaysian police say more than 1,000 migrants from My... http://t.co/wJ4tSbCAAi",malaysia detains hundreds of migrants arriving on boats malaysian police say more than 1 000 migrants from my,2019-06-03 10:58:25,1000.0,boat,,,,,twitter,1110
1126,['a414'],0.0,,0.584,CLEARED - A12 Southbound - Slow moving traffic between J19 Boreham Interchange) and J18 (Sandon/A414).,cleared a12 southbound slow moving traffic between j19 boreham interchange and j18 sandon a414,2019-06-06 17:46:03,,,,,,,twitter,1111
1127,['mogadishu'],0.081,,0.796,#BREAKING: A Plane #Carrying more #than 200 Somali #Refugees is Expected to #arrive to #Mogadishu on #Monday Noon Sources #Confirmed,breaking a plane carrying more than 200 somali refugees is expected to arrive to mogadishu on monday noon sources confirmed,2019-06-10 05:47:26,200.0,,,,,,twitter,1112
1128,['m5'],0.0,,0.55,#M5 Delays Near J6/J5 northbound caused by congestion/an accident [source: https://t.co/sUEq6e191q],m5 delays near j6 j5 northbound caused by congestion an accident source,2019-06-19 14:00:07,,,,,,,twitter,1113
1129,"['teknaf', 'bangladesh']",0.997,,0.51,"The BBC's Justin Rowlatt travelled to Teknaf on the southern coast of Bangladesh, from where hundreds of migrants... http://t.co/HOBbf1Q8ly",the bbcs justin rowlatt travelled to teknaf on the southern coast of bangladesh from where hundreds of migrants,2019-06-20 17:49:29,,,,,,,twitter,1114
1130,['italia'],0.733,,0.921,More Than 700 Migrants Rescued in Mediterranean: Italian Coastguard,more than 700 migrants rescued in mediterranean italian coastguard,2019-06-21 00:27:04,700.0,,,,010100000000000000000029403333333333F34440,,twitter,1115
1131,[],0.826,,0.525,A British navy ship has rescued hundreds of migrants in the central Mediterranean on Thursday.,a british navy ship has rescued hundreds of migrants in the central mediterranean on thursday,2019-06-21 09:07:54,,boat,,,,,twitter,1116
